Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,Home.Ownership,Monthly.Income,Open.CREDIT.Lines,Revolving.CREDIT.Balance
20000,20000,0.09,36 months,debt_consolidation,0.15,MORTGAGE,6541.67,14,14272
19200,19200,0.12,36 months,debt_consolidation,0.28,MORTGAGE,4583.33,12,11140
35000,35000,0.22,60 months,debt_consolidation,0.24,MORTGAGE,11500,14,21977
10000,9975,0.1,36 months,debt_consolidation,0.14,MORTGAGE,3833.33,10,9346
12000,12000,0.12,36 months,credit_card,0.19,RENT,3195,11,14469
6000,6000,0.15,36 months,other,0.2,OWN,4891.67,17,10391
10000,10000,0.08,36 months,debt_consolidation,0.26,RENT,2916.67,10,15957
33500,33450,0.17,60 months,credit_card,0.15,MORTGAGE,13863.42,12,27874
14675,14675,0.14,36 months,credit_card,0.27,RENT,3150,9,7246
1000,7000,0.07,36 months,credit_card,0.07,RENT,5000,8,7612
2000,2000,0.2,36 months,moving,0.1,RENT,3575,10,12036
10625,10625,0.14,36 months,debt_consolidation,0.13,MORTGAGE,4250,14,10767
28000,27975,0.22,60 months,debt_consolidation,0.13,MORTGAGE,14166.67,12,10311
35000,34950,0.09,36 months,debt_consolidation,0.2,RENT,9166.67,19,21536
9600,9600,0.08,36 months,debt_consolidation,0.03,RENT,11250,13,4606
25000,24975,0.16,60 months,debt_consolidation,0.22,RENT,5416.67,6,13929
10000,10000,0.12,36 months,debt_consolidation,0.18,RENT,9000,18,20317
14000,13900.25,0.1,60 months,debt_consolidation,0.12,RENT,4333.33,6,7419
10000,10000,0.1,36 months,credit_card,0.07,RENT,2733.33,7,6112
5200,5175,0.1,60 months,debt_consolidation,0.1,MORTGAGE,3750,10,16094
22000,21975,0.22,36 months,debt_consolidation,0.11,MORTGAGE,6666.67,9,23124
30000,30000,0.19,60 months,credit_card,0.21,MORTGAGE,6250,12,34927
6500,6500,0.18,60 months,car,0.2,RENT,4100,11,11697
17400,17400,0.12,36 months,credit_card,0.12,RENT,6833.33,7,26587
4000,4000,0.17,60 months,vacation,0.14,MORTGAGE,4500,5,20804
7200,7200,0.08,36 months,debt_consolidation,0.25,RENT,5416.67,8,12017
8000,8000,0.14,36 months,debt_consolidation,0.25,RENT,2964.17,9,8928
8000,8000,0.15,36 months,debt_consolidation,0.15,MORTGAGE,2916.67,4,7152
3000,212,0.09,36 months,other,0.04,MORTGAGE,4167,4,7074
14500,14500,0.08,36 months,debt_consolidation,0.05,MORTGAGE,3958.33,4,9598
23850,23850,0.21,60 months,debt_consolidation,0.29,MORTGAGE,5833.33,19,25968
14000,14000,0.12,36 months,debt_consolidation,0.15,MORTGAGE,10583.33,9,35457
35000,34975,0.16,60 months,debt_consolidation,0.07,MORTGAGE,10416.67,7,31414
